Subject,grid,Concept,English Term,Arabic Term,Other Possible Translations
Discover,3,When Habitats Change,Wildfires,حرائق الغابات,
Discover,3,When Habitats Change,Flood,الفيضان,
Discover,3,When Habitats Change,Lightning,البرق,
Discover,3,When Habitats Change,Natural Disasters,الكوارث الطبيعية,
Discover,3,When Habitats Change,Pollution,التلوث,
Discover,3,When Habitats Change,Soil,التربة,
Discover,3,When Habitats Change,Volcanoes,البراكين,
Discover,3,When Habitats Change,Water Hyacinth,ياسنت الماء (ورد النيل),
Discover,3,When Habitats Change,Burrow,الجحور,
Discover,3,When Habitats Change,Chemicals,المواد الكيميائية,
Discover,3,When Habitats Change,Grazing,الرعي,
Discover,3,When Habitats Change,Pond,البرك,
Discover,3,When Habitats Change,Shelter,المأوى,
Discover,3,When Habitats Change,Stream,الجداول المائية,
Discover,3,When Habitats Change,Wildlife,الحياة البرية,
Discover,3,"Water, Water Everywhere",Water Cycle,دورة الماء,
Discover,3,"Water, Water Everywhere",Climate,المناخ,
Discover,3,"Water, Water Everywhere",Desert,الصحراء,
Discover,3,"Water, Water Everywhere",Groundwater,المياه الجوفية,
Discover,3,"Water, Water Everywhere",Gulf,الخليج,
Discover,3,"Water, Water Everywhere",Highlands,المرتفعات,
Discover,3,"Water, Water Everywhere",Oasis,الواحة,
Discover,3,"Water, Water Everywhere",Ocean,المحيط,
Discover,3,"Water, Water Everywhere",Runoff,جريان الماء,
Discover,3,"Water, Water Everywhere",Sand Dunes,الكثبان الرملية,
Discover,3,"Water, Water Everywhere",Sea,البحر,
Discover,3,"Water, Water Everywhere",Springs,الينابيع,
Discover,3,"Water, Water Everywhere",Surface,السطح,
Discover,3,"Water, Water Everywhere",Wetlands,الأراضي الرطبة,
Discover,3,"Water, Water Everywhere",Condensation,التكاثف,
Discover,3,"Water, Water Everywhere",Evaporation,التبخر,
Discover,3,"Water, Water Everywhere",Humid,الرطوبة,
Discover,3,"Water, Water Everywhere",Precipitation,هطول الأمطار,
Discover,3,"Water, Water Everywhere",Rainfall,سقوط الأمطار,
Discover,3,"Water, Water Everywhere",Sandstorms,العواصف الرملية,
Discover,3,"Water, Water Everywhere",Temperature,درجة الحرارة,
Discover,3,How Can I Help?,Flood Prevention,الوقاية من الفيضانات,
Discover,3,How Can I Help?,Canals,القنوات المائية,
Discover,3,How Can I Help?,Computer Sensors,مستشعرات حاسوبية,
Discover,3,How Can I Help?,Dams,السدود,
Discover,3,How Can I Help?,Freshwater Pump,طلمبة رفع المياه العذبة,
Discover,3,How Can I Help?,Pipes,مواسير,
Discover,3,How Can I Help?,Pumps,طلمبات,
Discover,3,How Can I Help?,Sandbags,أكياس الرمال,
Discover,3,How Can I Help?,Shadoof,الشادوف,
Discover,3,How Can I Help?,Technology,التكنولوجيا,
Discover,3,How Can I Help?,Crops,المحاصيل,
Discover,3,How Can I Help?,Irrigate,الري,
Discover,3,Patterns of Change,Adaptation,التكيف,
Discover,3,Patterns of Change,Camouflage,التخفي,
Discover,3,Patterns of Change,Survival,البقاء,
Discover,3,Patterns of Change,Blubber,الدهون,
Discover,3,Patterns of Change,Body Temperature,درجة حرارة الجسم,
Discover,3,Patterns of Change,Characteristics,الخصائص,
Discover,3,Patterns of Change,Inherited Traits,صفات وراثية,
Discover,3,Patterns of Change,Insulator,عازل (حراري),
Discover,3,Patterns of Change,Offspring,النسل,
Discover,3,Patterns of Change,Organism,الكائن الحي,
Discover,3,Patterns of Change,Parents,الوالدين,
Discover,3,Patterns of Change,Traits,الصفات,
Discover,3,Patterns of Change,Beak,المنقار,
Discover,3,Patterns of Change,Fur,الفراء,
Discover,3,Origins of Medicine,Primary Sources,المصادر الأولية,
Discover,3,Origins of Medicine,Secondary Sources,المصادر الثانوية,
Discover,3,Origins of Medicine,Ailment,المرض,
Discover,3,Origins of Medicine,Diseases,الأمراض,
Discover,3,Origins of Medicine,Fever,الحمى,
Discover,3,Origins of Medicine,Hospital,المستشفى,
Discover,3,Origins of Medicine,Infection,العدوى,
Discover,3,Origins of Medicine,Injury,الإصابة,
Discover,3,Origins of Medicine,Medical Practices,الممارسات الطبية,
Discover,3,Origins of Medicine,Medicine,الدواء,
Discover,3,Origins of Medicine,Papyrus (Medical Text),بردية (نص طبي),
Discover,3,Origins of Medicine,Pediatrics,طب الأطفال,
Discover,3,Origins of Medicine,Pharmacy,صيدلية,
Discover,3,Origins of Medicine,Physician,الطبيب,
Discover,3,Origins of Medicine,Prescription,وصفة طبية,
Discover,3,Origins of Medicine,Sanitation,الصحة العامة,
Discover,3,Origins of Medicine,Surgery,الجراحة,
Discover,3,Origins of Medicine,Surgical,الجراحية,
Discover,3,Origins of Medicine,Treatments,العلاج,
Discover,3,Origins of Medicine,Medical Tools,أدوات طبية,
Discover,3,Connecting Forces,Motion,الحركة,
Discover,3,Connecting Forces,Magnetism,المغناطيسية,
Discover,3,Connecting Forces,Attract,الانجذاب,
Discover,3,Connecting Forces,Force,القوة,
Discover,3,Connecting Forces,Lever,الرافعة,
Discover,3,Connecting Forces,Magnet,المغناطيس,
Discover,3,Connecting Forces,Poles (of a magnet),أقطاب (المغناطيس),
Discover,3,Connecting Forces,Speed,السرعة,
Discover,3,Connecting Forces,Grain Silos,صوامع الغلال,
Discover,3,Connecting Forces,Oxen,الثيران,
Discover,3,Connecting Forces,Spreader,آلة نثر البذور,
Discover,3,Connecting Forces,Tractor,الجرار,
Discover,3,Connecting People,Transportation Systems,شبكات النقل,
Discover,3,Connecting People,Trade,التجارة,
Discover,3,Connecting People,Innovation,ابتكار,
Discover,3,Connecting People,Airplane,طائرة,
Discover,3,Connecting People,Automobiles,السيارات,
Discover,3,Connecting People,Bicycles,الدراجات,
Discover,3,Connecting People,Cargo,البضائع,
Discover,3,Connecting People,Central Processing Unit (CPU),وحدة المعالجة المركزية (CPU),
Discover,3,Connecting People,Computer System,نظام الحاسب الآلي (الكمبيوتر),
Discover,3,Connecting People,Engineers,المهندسين,
Discover,3,Connecting People,Hardware,جهاز,
Discover,3,Connecting People,Hyperloop,"القطار الأنبوبى بالرفع المغاطيسي ومضخات الهواء
(Hyperloop)",
Discover,3,Connecting People,Input/Output Device,وحدات الإدخال / الإخراج,
Discover,3,Connecting People,Keyboard,لوحة مفاتيح,
Discover,3,Connecting People,Maglev Train,القطار المغناطيسي المعلق (Maglev),
Discover,3,Connecting People,Memory,الذاكرة,
Discover,3,Connecting People,Monitor,الشاشة,
Discover,3,Connecting People,Motherboard,اللوحة الأم,
Discover,3,Connecting People,Ships,السفن,
Discover,3,Connecting People,Software,البرمجيات (Software),
Discover,3,Connecting People,Storage Device,وحدة التخزين,
Discover,3,Connecting People,Trains,القطارات,
Discover,3,Connecting People,Trucks,الشاحنات,
Science,4,Adaptation and Survival,Adaptation,التكيف,
Science,4,Adaptation and Survival,Amphibians,البرمائيات,
Science,4,Adaptation and Survival,Anus,فتحة الشرج,
Science,4,Adaptation and Survival,Behavioral adaptations,التكيفات السلوكية,
Science,4,Adaptation and Survival,Blood vessels,الأوعية الدموية,
Science,4,Adaptation and Survival,Body systems,أجهزة الجسم,
Science,4,Adaptation and Survival,Botanist,عالم النبات,
Science,4,Adaptation and Survival,Burrows,الجحور,
Science,4,Adaptation and Survival,Buttress roots,الجذور الداعمة,
Science,4,Adaptation and Survival,Camouflage,التخفي,
Science,4,Adaptation and Survival,Carbon dioxide,ثاني أكسيد الكربون,
Science,4,Adaptation and Survival,Claws,مخالب,
Science,4,Adaptation and Survival,Countershading,التباين اللوني,
Science,4,Adaptation and Survival,Digestive system,الجهاز الهضمي,
Science,4,Adaptation and Survival,Drought,الجفاف,
Science,4,Adaptation and Survival,Echolocation,تحديد الموقع بصدى الصوت,تحديد الموقع بالصدى
Science,4,Adaptation and Survival,Ecosystem,النظام البيئي,
Science,4,Adaptation and Survival,Endangered,مهددة بالانقراض,
Science,4,Adaptation and Survival,Energy,الطاقة,
Science,4,Adaptation and Survival,Environmental conditions,الظروف البيئية,
Science,4,Adaptation and Survival,Esophagus,المريء,
Science,4,Adaptation and Survival,Exhale,الزفير,
Science,4,Adaptation and Survival,Extinction,الانقراض,
Science,4,Adaptation and Survival,Feathers,الريش,
Science,4,Adaptation and Survival,Gas exchange,تبادل الغازات,
Science,4,Adaptation and Survival,Gills,الخياشيم,
Science,4,Adaptation and Survival,Habitat,الموطن الطبيعي,
Science,4,Adaptation and Survival,Habitat loss,فقدان الموطن الطبيعي,
Science,4,Adaptation and Survival,Human activity,النشاط البشري,
Science,4,Adaptation and Survival,Inhale,الشهيق,
Science,4,Adaptation and Survival,Large intestine,الأمعاء الغليظة,
Science,4,Adaptation and Survival,Liver,الكبد,
Science,4,Adaptation and Survival,Living organisms,الكائنات الحية,
Science,4,Adaptation and Survival,Lungs,الرئتين,
Science,4,Adaptation and Survival,Mangrove trees,أشجار المانجروف,
Science,4,Adaptation and Survival,Nocturnal,الحيوانات الليلية,
Science,4,Adaptation and Survival,Nutrients,العناصر الغذائية,
Science,4,Adaptation and Survival,Organs,أعضاء,
Science,4,Adaptation and Survival,Organism,الكائن الحي,
Science,4,Adaptation and Survival,Oxygen,الأكسجين,
Science,4,Adaptation and Survival,Pancreas,البنكرياس,
Science,4,Adaptation and Survival,Poison,سم,
Science,4,Adaptation and Survival,Polar climate,المناخ القطبي,
Science,4,Adaptation and Survival,"Pollution (air, water, soil)","التلوث (الهواء, الماء, التربة)",
Science,4,Adaptation and Survival,Predator,الحيوان المفترس,
Science,4,Adaptation and Survival,Prey,فريسة,
Science,4,Adaptation and Survival,Rainforest,الغابات المطيرة,
Science,4,Adaptation and Survival,Reptiles,الزواحف,
Science,4,Adaptation and Survival,Respiration,التنفس,
Science,4,Adaptation and Survival,Respiratory system,الجهاز التنفسي,
Science,4,Adaptation and Survival,Saliva,اللعاب,
Science,4,Adaptation and Survival,Savannah,مناطق السافانا,
Science,4,Adaptation and Survival,Scales,حراشيف,
Science,4,Adaptation and Survival,Seeds,بذور,
Science,4,Adaptation and Survival,Small intestine,الأمعاء الدقيقة,
Science,4,Adaptation and Survival,Solid waste,الفضلات الصلبة,
Science,4,Adaptation and Survival,Spines (plant),أشواك (نبات),
Science,4,Adaptation and Survival,Stomach,المعدة,
Science,4,Adaptation and Survival,Structural adaptations,التكيفات التركيبية,
Science,4,Adaptation and Survival,Survive,البقاء على قيد الحياة,
Science,4,Adaptation and Survival,Systems (biological),الأنظمة (البيولوجية),
Science,4,Adaptation and Survival,Taproot,الجذر الوتدي,
Science,4,Adaptation and Survival,Trachea,القصبة الهوائية,
Science,4,Adaptation and Survival,Tundra,التندرا,
